/Users/hugosg/Dropbox/UNAM/ottoHugoCompartido/Analizador2_oct_2019/prueba1.wav
31.889478458049886
0	0	0.0	1.6021768707482993	1.6021768707482993	
1	1	1.6021768707482993	3.215963718820862	1.6137868480725626	
10	2	21.466848072562357	24.938231292517006	3.4713832199546495	
11	5	24.938231292517006	27.01641723356009	2.0781859410430847	
12	7	27.01641723356009	30.48780045351474	3.4713832199546495	
13	1	30.48780045351474	31.86938775510204	1.3815873015872988	
2	3	3.215963718820862	5.061950113378685	1.8459863945578228	
3	3	5.061950113378685	6.907936507936508	1.8459863945578237	
4	4	6.907936507936508	9.450521541950113	2.542585034013605	
5	5	9.450521541950113	12.689705215419501	3.2391836734693875	
6	6	12.689705215419501	13.839092970521541	1.1493877551020404	
7	7	13.839092970521541	17.07827664399093	3.2391836734693875	
8	5	17.07827664399093	19.156462585034014	2.0781859410430847	
9	0	19.156462585034014	21.466848072562357	2.310385487528343	
